abandonment,[名]放棄
abbreviation,[名]略語
abnormal,[形]異常な
abolition,[名]廃止
abusive,[形]口汚い
accompaniment,[名]伴うもの
accordance,[名]一致
adaptation,[名]適合、順応
administer,[動]運営する
admiral,[名]海軍大将、提督
adoption,[名]採用
adore,[動]大好きである
adorn,[動]装飾する
advancement,[名]昇進
advantageous,[形]有利な
advisory,[形]助言を与える
affectionate,[形]愛情のこもった
affirm,[動]断言する
agenda,[名]議事日程
aggression,[名]侵略
aide,[名]補佐官
aimless,[形]目的のない
airway,[名]航空会社
alarming,[形]大変な
alcoholism,[名]アルコール中毒
algebra,[名]代数学
allege,[動]主張する
allied,[形]同盟している
altar,[名]祭壇
alteration,[名]変更
alternate,[形]交互の
altitude,[名]高度、海抜
amazed,[形]驚嘆した
amazement,[名]驚き
amen,[名]アーメン
amend,[動]改正する
amendment,[名]修正
ancestry,[名]祖先
annoyance,[名]不快感
anonymous,[形]匿名の
antarctic,[形]南極の
anthropology,[名]人類学
appendix,[名]付録
appetizer,[名]前菜
appetizing,[形]食欲をそそる
appliance,[名]電化製品
applicable,[形]適用できる
applicant,[名]応募者
apprehension,[名]懸念
apprentice,[名]見習い、初心者
approximate,[形]おおよその
archaeology,[名]考古学
arctic,[形]北極の
armored,[形]装甲した
arouse,[動]目を覚まさせる
arrogant,[形]傲慢な
ashore,[副]浜に、岸に
assertion,[名]主張
atmospheric,[形]大気の
attachment,[名]付着物
attorney,[名]弁護士
auction,[名]競売
audition,[名]オーディション
auditorium,[名]講堂
autobiography,[名]自叙伝
avail,[動]利用する
avoidance,[名]回避
axis,[名]軸
bachelor,[名]独身男性
backing,[名]支持
bait,[名]えさ
ballot,[名]投票用紙、投票
bandage,[名]包帯、目隠しの布
bankruptcy,[名]倒産、破綻
barbarian,[名]野蛮人、未開人
barefoot,[形]裸足の
barley,[名]大麦
barrack,[名]兵舎
barricade,[動]バリケードを築く
bedding,[名]寝具
behold,[動]眺める
bellybutton,[名]へそ
bestow,[動]授ける
beverage,[名]飲み物
beware,[動]用心する
bias,[名]偏見
bid,[名]入札、付値
bimonthly,[名]隔月刊行物
binding,[名]縛ること、束縛
birthplace,[名]出生地
blink,[名]まばたき
bliss,[名]至福、天国
blunt,[形]鈍い
boastful,[形]自慢して 
bosom,[名]胸
botanical,[形]植物の
bough,[名]大枝
bouquet,[名]花束
bowel,[名]腸
bracket,[名]支え、同類
breathless,[形]息を切らした
bridegroom,[名]花婿
brisk,[形]活発な、元気のよい
broaden,[動]広げる、広がる
broadly,[副]大雑把に
brochure,[名]パンフレット
bruise,[名]あざ、打ち身
brunch,[名]昼食兼用朝食
brute,[名]獣
buffet,[名]ビュッフェ
bulletin,[名]公報
bureaucracy,[名]官僚
burnt,[形]燃えた
bypass,[名]バイパス
calamity,[名]災難、不幸
calcium,[名]カルシウム
campaigner,[名]運動家
canary,[名]カナリア
cane,[名]杖、むち
capsule,[名]カプセル
caption,[名]見出し、表題
captive,[名]捕虜
caravan,[名]隊商、幌馬車
cardboard,[名]ボール紙
cartridge,[名]カートリッジ
carving,[名]彫刻
catastrophe,[名]大災害、大惨事
cater,[動]料理を提供する
cellar,[名]地下室
census,[名]国勢調査
centered,[形]中心にある
ceremonial,[形]儀式上の
certify,[動]証明する、認定する
challenged,[形]障害のある
chancellor,[名]首相
chaotic,[形]混沌とした
chap,[動]あかぎれになる
chariot,[名]戦車
chatter,[名]おしゃべり
cherish,[動]大切にする
chestnut,[名]栗
chick,[名]ひよこ
chime,[動]時刻を知らせる
choir,[名]聖歌隊、合唱団
chore,[名]雑用
chuckle,[動]くすくす笑う
churchyard,[名]教会墓地
circulate,[動]循環する、巡回する
citizenship,[名]市民権
civic,[形]市民の
clarify,[動]明らかにする
clatter,[動]カタカタ鳴る
clergy,[名]聖職者
clergyman,[名]聖職者
cling,[動]しがみつく
clinical,[形]臨床の
cloakroom,[名]携帯品預かり所
clockwork,[名]時計仕掛け
clown,[名]道化者
clumsy,[形]不器用な
clutch,[動]つかむ
coastal,[形]沿岸の
coffin,[名]棺桶
coil,[名]巻いたもの、とぐろ
coincide,[動]同時に起こる
collision,[名]衝突
colonel,[名]大佐、連隊長
columnist,[名]コラムニスト
comforting,[形]気分がやすらぐ
commend,[動]ほめる、賞賛する
commissioner,[名]監督官
commonplace,[名]ありふれた事
commonwealth,[名]連邦、州
communicative,[形]話し好きな、通信の
communism,[名]共産主義
commuter,[名]通勤者
compartment,[名]区画、仕切った部分
compensate,[動]補償をする
competence,[名]能力、力量
complement,[名]補足して完全にするもの
comprehensive,[形]幅広い、包括的な
comprise,[動]含む、構成する
comrade,[名]仲間
concede,[動]認める
conceptual,[形]概念上の
concession,[名]譲歩
concise,[形]簡潔な
cone,[名]円錐
confer,[動]相談する
confide,[動]信頼する
confidential,[形]秘密の、機密の
confirmation,[名]確認
conform,[動]従う、一致する
confrontation,[名]対決
consequent,[形]結果として生じる
console,[動]慰める
consonant,[名]子音、子音字
conspiracy,[名]陰謀
constitutional,[形]憲法の
contemplate,[動]熟考する
