abate,[動]和らぐ、治まる
abdicate,[動]放棄する
abdominal,[形]腹部の
abhor,[動]ひどく嫌う
abhorrent,[形]大嫌いな、憎むべき
abject,[形]惨めな
abominable,[形]ひどい
abreast,[形]並んで
accede,[動]同意する
accession,[名]継承
acclamation,[名]拍手かっさい
accolade,[名]賞賛
acorn,[名]どんぐり
acquiescence,[名]黙って従うこと
acreage,[名]エーカー数、地所
acrid,[形]苦い
adage,[名]格言
adjourn,[動]休会にする、延期する
adjunct,[名]付属物
admonition,[名]忠告、警告
aegis,[名]保護
affectation,[名]ふりをすること、気取り
affront,[名]侮辱
afield,[形]故郷を遠く離れた
afoot,[形]徒歩で
aft,[形]後の
aggregation,[名]凝集、集合
agile,[形]機敏な
agrarian,[名]土地均分論者
ail,[名]苦しみ
airtight,[形]空気を通さない
alderman,[名]市会議員
algae,[名]藻、藻類
alignment,[名]調整
allay,[動]静める
allegory,[名]寓意物語、寓意、象徴
altercation,[名]口論
amalgamate,[動]合併する、融合する
amble,[名]アンブル
amenable,[名]従順な
amends,[名]償い
amity,[名]親善
amphibian,[名]両生動物
amphitheater,[名]円形競技場
ancillary,[名]補助者、付属物
angler,[名]魚釣りをする人
annexation,[名]併合、付加物
annihilate,[動]全滅させる
anorexia,[名]食欲不振
antagonize,[動]敵に回す
antecedent,[名]前例、前項、先祖
anteroom,[名]控えの間、待合室
antic,[名]おどけた仕草
antigen,[名]抗原
antiseptic,[名]防腐剤、消毒剤
antithesis,[名]対照、正反対、対照法
anvil,[名]金敷
aperture,[名]穴
apex,[名]頂点
apparition,[名]幽霊
appraise,[動]見積もる、評価する
arable,[名]耕作に適した土地
arbitration,[名]仲裁
armistice,[名]休戦
armpit,[名]腋の下
arousal,[名]覚醒
arsenic,[名]砒素
articulation,[名]結合、関節
artifice,[名]策略
assail,[名]襲撃する、悩ませる
assay,[名]検査、分析
assessor,[名]査定者、補佐役
assimilation,[名]同化
astern,[副]船尾に
asunder,[副]ばらばらに
atheist,[名]無神論者
atone,[動]償いをする
attire,[名]服装
augment,[動]増大させる、増やす
auspicious,[形]吉兆の
autism,[名]自閉症
auxiliary,[名]補助者
avarice,[名]強欲
averse,[形]嫌って
aviary,[名]鳥類飼育場
bale,[名]梱
ballast,[名]小石、砂利
balm,[名]香油
baloney,[名]たわ言
bandit,[名]盗賊
barrow,[名]手押し車
bashful,[形]内気な
batten,[名]床張り板、目板
beget,[動]こしらえる、生じさせる
belie,[動]偽って伝える、裏切る
benevolence,[名]慈悲心
bequeath,[動]遺言で譲る
bereaved,[名]遺族、後に残された者
berth,[名]寝台
beseech,[動]懇願する
biceps,[名]二頭筋
bilateral,[名]二者会談
bile,[名]胆汁
billow,[名]大波
binary,[名]2進数
binocular,[名]双眼鏡、双眼顕微鏡
bison,[名]バイソン
blanch,[動]青ざめる
blasphemy,[名]冒涜
blemish,[名]きず、汚点
blithe,[形]楽しげな、軽率な
bode,[動]前兆となる
borough,[名]自治都市
bountiful,[形]豊富な
bovine,[名]ウシ属の動物
breadwinner,[名]稼ぎ手
brevity,[名]短さ、簡潔さ
bridle,[名]拘束
bromide,[名]臭化物、陳腐な考え
bronchitis,[名]気管支炎
brunt,[名]主力
brusque,[形]ぶっきらぼうな、がさつな
buggy,[名]乳母車
bunk,[名]棚式寝台
buttock,[名]臀部
cactus,[名]サボテン
cadence,[名]リズム
callous,[名]皮膚のたこ
canopy,[名]天蓋
cant,[名]うわべだけの言葉
canteen,[名]食堂
canvass,[名]帆布
caprice,[名]気まぐれ、気まま
capricious,[形]気まぐれな、変わりやすい
carcinogen,[名]発癌物質
carousel,[名]回転木馬、回転ラック
casket,[名]小箱
cataclysm,[名]大変動
cataract,[名]白内障、混濁部
caustic,[名]火線、腐食薬
cavalier,[名]いんぎんな紳士
cavalry,[名]騎兵、騎兵隊
cavern,[名]洞窟
cessation,[名]休止
chaff,[名]もみがら
charlatan,[名]偽医者
chaste,[形]純潔な
chastise,[名]厳しく非難する
chauvinism,[名]熱狂的愛国主義
chivalry,[名]騎士道
chlorine,[名]塩素
chronology,[名]年代記、年表
chum,[名]仲良し
circumference,[名]円周
circumscribe,[動]制限する、抑える
circumspect,[形]用意周到な
cistern,[名]水槽、貯水池
citadel,[名]城、要塞
claimant,[名]原告
clairvoyant,[名]透視者
claustrophobia,[名]閉所恐怖症
cleavage,[名]裂開、分裂、卵割
cleave,[動]切り裂く、割る
clump,[名]群れ
coddle,[動]甘やかす
coerce,[動]強制する
coercion,[名]強制
cognition,[名]認知
colitis,[名]大腸炎
collusion,[名]共謀、談合
combustion,[名]燃焼
complainant,[名]原告
compliant,[形]従順な、素直な
compost,[名]堆肥
concave,[名]凹
conciliate,[動]なだめる
conciliatory,[形]和解の、懐柔的な
concomitant,[名]付随物
concordance,[名]一致
condescend,[動]恩着せがましく…する
condolence,[名]悔やみ、哀悼
confederation,[名]連合
confetti,[名]紙吹雪
confluence,[名]合流、合流点
congregate,[動]集まる
connotation,[名]含意
consecrate,[動]神聖にする、神に捧げる
conservatory,[名]音楽学校
consignment,[名]積荷、出荷品
constellation,[名]星座
consternation,[名]非常な驚き、狼狽
constipation,[名]便秘
constrict,[動]引き締める
consummation,[名]完成
contagion,[名]伝染病
contravene,[動]違反する、反する
convalescence,[名]回復
convulsion,[名]痙攣、発作
coop,[名]かご
copious,[形]豊富な、おびただしい
cordon,[名]非常線
corollary,[名]必然的な帰結
coroner,[名]検死官
corroboration,[名]確証
corrode,[動]腐食する、むしばむ
cot,[名]簡易寝台、吊り床
cove,[名]入り江
cower,[動]すくむ
creak,[名]キーキー鳴る音
crease,[名]ひだ、しわ
crevice,[名]割れ目
