slant,[名]傾斜
slay,[動]殺害する
sleeper,[名]寝台車
slot,[名]細長い穴・溝
slug,[名]ナメクジ
slumber,[動]活動を休止する
sly,[形]ずるい
smog,[名]スモッグ
snail,[名]カタツムリ、巻貝
snare,[名]罠
snore,[動]いびきをかく
socialism,[名]社会主義
sociologist,[名]社会学者
soloist,[名]独奏者
soothe,[動]和らげる
sophomore,[名]2年生
sorrowful,[形]悲しんでいる
souvenir,[名]お土産
sown,[形]宝石をちりばめた
sparkling,[形]火花を発する
spear,[名]槍、やり
specimen,[名]見本、実例
spike,[名]長くぎ
splash,[動]水を撒き散らす
splendor,[名]光彩、立派さ
spoke,[名]スポーク
sponsorship,[名]後援
spontaneous,[形]自発的な
spotted,[形]しみのついた
sprung,[形]バネ入りの
spur,[名]拍車
squash,[動]押しつぶす
stab,[動]突き刺す
stance,[名]足の位置
staple,[名]主要素、主題
stapler,[名]ホチキス
static,[形]静止の
stationery,[名]文房具
statistical,[形]統計の
steadfast,[形]確固とした
steward,[名]客室係
stiffen,[動]堅くする
stopper,[名]栓
storehouse,[名]倉庫
storekeeper,[名]店主
stout,[形]肥満した
straightforward,[形]まっすぐな
strand,[名]織り糸
striker,[名]ストライキ参加者
stylistic,[形]文体論の
subdue,[動]征服する
subjective,[形]主観の
sublime,[形]崇高な
submarine,[名]潜水艦
submission,[名]服従、従順
subscription,[名]定期購読
subsequent,[形]その後の
subsequently,[副]その後
subsidiary,[形]補助の
subsidy,[名]補助金、交付金
subtract,[動]引き算をする
sullen,[形]不機嫌な
summarize,[動]要約する
sunbeam,[名]太陽光線
sunk,[動]sinkの過去分詞形
superb,[形]素晴らしい
supernatural,[名]超自然のもの
superpower,[名]超大国
superstition,[名]迷信
supervise,[動]監督する
supplier,[名]供給者
supportive,[形]支持となる
suppression,[名]抑圧、鎮圧
surpass,[動]越える
surplus,[名]余り、過剰
suspension,[名]停学、支払い停止
swarm,[名]大群
sweeten,[動]甘くする
sweetie,[名]恋人、かわいいもの
swelling,[名]隆起
symbolize,[動]表す、象徴化する
symposium,[名]酒宴、討論会
takeout,[名]持ち帰り用の食物
talkative,[形]話し好きな
tan,[動]日焼けする
tanker,[名]タンカー
tariff,[名]関税
tasteful,[形]上品な、趣きのある
tearful,[形]涙もろい
tedious,[形]退屈な
telecommunications,[名]電気通信
teller,[名]窓口係
temperate,[形]温暖な
tempest,[名]大騒ぎ，騒動
temporarily,[副]一時的に、仮に
territorial,[形]領土の
testify,[動]証言する
textile,[名]織物
texture,[名]織り方，織地
thaw,[動]雪が溶ける
theoretical,[形]理論的な
thereafter,[副]その後は
thesis,[名]論文
thicken,[動]厚くする、濃くする
thicket,[名]雑木林
thigh,[名]大腿
thoughtless,[形]思慮を欠く
threshold,[名]敷居、入口、発端
thrive,[動]成功する、繁栄する
thunderstorm,[名]激しい雷雨
tidal,[形]潮の
tile,[名]タイル、かわら
timber,[名]木材
timer,[名]タイマー
timing,[名]タイミング
tireless,[形]疲れを知らない
tiresome,[形]退屈な
toil,[動]骨折って働く
tolerable,[形]我慢できる
tolerance,[名]寛容、度量
tolerant,[形]寛大な
toll,[名]通行料
tradesman,[名]商人
trainee,[名]軍事訓練をうける人
traitor,[名]裏切者　
tram,[名]路面電車
tramp,[動]どしんどしんと歩く
trample,[動]踏み付ける
tranquil,[形]落ち着いた、静かな
traveling,[形]旅行する
treasurer,[名]財務部長
tribute,[名]賛辞、ささげ物
tricky,[形]手の込んだ
trifle,[名]つまらないもの
trustee,[名]管財人
tumble,[動]転ぶ
turnover,[動]ひっくり返る
twig,[名]小枝
tyranny,[名]圧制、横暴
tyrant,[名]専制君主
unanimous,[形]満場一致の
unchanged,[形]不変の
understandable,[形]理解できる
undertaking,[名]約束
undesirable,[形]好ましくない
unhealthy,[形]不健康な
uniformity,[名]均一性
unofficial,[形]非公式な
unpopular,[形]人気のない
unpredictable,[形]予知できない
unskilled,[形]未熟な
unsure,[形]確信のない
update,[動]最新のものにする
uphill,[形]上り坂の
uphold,[動]支持する
usage,[名]利用、使用量
utensil,[名]家庭用品、器具
utterance,[名]発言
vacancy,[名]空室、空き
vaguely,[副]ぼんやりと
valve,[名]弁
vapor,[名]蒸気
variable,[形]変わりやすい
vein,[名]静脈
verbal,[形]言葉の
vertical,[形]垂直の
vibrate,[動]震える
victor,[名]勝利者、勝者
virtually,[副]実質的には
virtuous,[形]有徳の、貞淑な
vocation,[名]天職、使命
vulgar,[形]下品な、低俗な
wallpaper,[名]壁紙
wanderer,[  ]放浪者
ware,[名]瀬戸物、陶器
warfare,[名]交戦状態、戦争
warring,[形]敵対する
washcloth,[名]洗面用タオル
watering,[名]散水
waver,[動]揺れる
weary,[形]疲れた
weird,[形]変な、奇妙な
westward,[形]西に向かう
wheelchair,[名]車いす
wholesale,[名]卸し売り
wholesome,[形]健康そうな、健全な
willow,[名]柳
wintertime,[名]冬季
wither,[動]枯れる、萎える
withstand,[動]耐える
witty,[形]機知に富む
wreath,[名]花輪
wreck,[名]難破
wrestling,[名]レスリング
wretched,[形]惨めな
wring,[動]絞る
yarn,[名]糸
zeal,[名]熱意
zealous,[形]熱心な
zip,[動]ファスナーを締める 
abbreviate,[動]短縮する
abort,[動]中止になる
abstraction,[名]抽象概念
absurdity,[名]ばかげた行為
acceleration,[名]加速度
acoustic,[名]音響学
activate,[動]活動的にする
actuality,[名]現実、実在
addicted,[形]常習的な
addictive,[形]習慣性の
adequacy,[名]適切さ
adherence,[名]執着，忠実
adjacent,[形]隣接する
admittance,[名]入場許可
admittedly,[副]明らかに
adorable,[形]愛らしい、魅力的な
adornment,[名]装飾品
adversity,[名]逆境
aerobic,[形]エアロビクスの
afar,[副]遠くに
affected,[形]影響を受けた
affirmation,[名]肯定、宣誓
affix,[動]添付する 
affluent,[形]豊富な
aggravate,[動]悪化させる
aggressor,[名]侵略者
agitate,[動]動揺させる
agonizing,[形]苦しい
ailment,[名]病気
akin,[形]類似して
alienate,[動]疎外する
alienation,[名]疎外感
allergic,[形]アレルギーの
allergy,[名]アレルギー
allocation,[名]割り当て
allot,[動]割り当てる
aloof,[形]離れて
alpine,[形]高山の
alternately,[副]交替で
amenity,[名]快適さ
amiable,[形]親しみやすい
amplify,[動]拡大する
analogous,[形]似ている
anarchist,[名]無政府主義者
anarchy,[名]政治的混乱、無秩序
anecdote,[名]逸話、秘話
angelic,[形]天使のような
animate,[動]生命を与える
animated,[形]生きているような
antiquity,[名]古いこと
anytime,[副]いつでも
apathy,[名]無感動、無関心、冷淡
apiece,[副]個々に
apprehend,[動]理解する
apprenticeship,[名]徒弟期間
aptitude,[名]才能、適性
aquatic,[形]水生の
archbishop,[名]大司教、大主教
armful,[名]腕一杯
artful,[形]巧妙な
assassin,[名]暗殺者
assassination,[名]暗殺
assertive,[形]断言的な
assimilate,[動]同化する
astray,[副]道に迷って
astronomical,[形]天文学的な
attest,[動]証明する
auditor,[名]会計検査官、聴講生
authoritarian,[名]権威主義者
automate,[動]自動化する
automotive,[形]自動車の
avalanche,[名]雪崩
avert,[動]そらす 
awesome,[形]畏敬の念に満ちた
badger,[名]アナグマ
banjo,[名]バンジョー
barbarism,[名]野蛮
barometer,[名]気圧計
barter,[動]物々交換する
battlefield,[名]戦場
beet,[名]ビート、ビートの根
behavioral,[形]行動の
bellboy,[名]ボーイ
beta,[名]ベータ
billiards,[名]ビリヤード
bin,[名]容器、貯蔵所
binder,[名]バインダー
biotechnology,[名]生物工学
bitch,[名]あばずれ女
bizarre,[形]奇怪な
blacken,[動]黒くする
blizzard,[名]大吹雪
blooming,[形]花が咲いている
boarder,[名]下宿人
boarding,[名]搭乗
bog,[動]動きが取れない
bomber,[名]爆撃手
bondage,[名]苦役、強制労役
bonfire,[名]たき火
boon,[名]恩恵、恵み
botanist,[名]植物学者
bottomless,[形]底なしの
boulder,[名]大きな丸い石
boulevard,[名]大通り
